x,y
6494045.877,1835878.17
6374951.617,1927649.993
6476503.829,1881332.262
6256972.879,1831061.429
6248145.571,1946550.121
6299227.778,1991412.375
6255678.77,1833162.313
6304801,1795430
6327502.705,1854748.236
6278970.369,1852086.85
6256477.573,1836197.512
6266969.758,2021121.994
6243997.105,2039846.835
6184666.096,2083779.955
6163721.012,2087019.512
6272820.993,1835955.522
6259041.546,2013944.052
6246633.728,2082549.034
6317288.959,1994591.326
6248369.749,2077672.237
6279488.737,1825685.73
6259240.568,1838951.789
6298306.495,1830331.002
6262690.982,1831151.038
6384750.827,1880278.276
6264844.272,1973239.3
6319663.169,1808209.929
6208831.529,2024865.234
6300995.091,2095565.806
6294697.025,1900597.239
6374722.508,1924782.505
6274417.387,1850666.226
6278937.388,1833386.506
6462067.774,1969541.543
6229876.63,2055503.09
6251668.42,2087318.441
6374750.674,1924771.874
6385287.631,1893769.211
6246520.941,1964626.497
6308077.996,1822666.915
6172678.885,2090425.508
6298615.046,1875691.286
6305398.366,1852175.765
6283355.852,2077809.786
6258371.355,1876502.402
6225113.632,2029109.313
6267130.031,2078307.305
6309212.725,1991316.585
6330163.467,1888903.566
6283667.542,2003518.795
6263796.267,1871622.57
6207031.71,2077534.081
6263586.04,1870938.761
6263549.04,1871158.762
6216847.09,2024712.289
6221070.705,2057641.425
6220452.406,2065938.39
6220219.584,2032127.102
6291673.997,1848904.478
6408603.781,1972059.631
6385834.59,1888980.984
6294152.513,1784577.47
6257947.694,1840730.274
6385253.835,1864230.525
6270701.5,1838534.002
6256781.501,1838393.021
6272563.643,1844717.17
6243814.001,1967554.036
6252861.971,2082725.023
6256285.793,1836154.904
6258266.138,1876486.774
6468526.513,1832023.16
6257660.398,1836379.05
6263998,2074689
6282934.573,2005322.708
6213019.485,2072227.422
6257348.6,1829263.718
6413899.708,1883847.516
6288671.495,1809529.002
6249387.658,2083153.849
6254162.722,1836420.093
6243936.552,2073604.669
6335745.511,1838662.663
6248701.456,2082619.751
6354395.848,2018192.985
6256500.083,1836172.61
6292259.395,1951002.513
6598044.985,1993239.966
6499784.24,1851887.165
6236699.127,2055708.457
6254241.443,1836390.598
6256455.395,1837403.455
6250180.557,2083783.402
6327427.014,1854822.794
6501956.975,1899461.846
6429258.5,1885033.021
6301935.282,1844961.715
6246421.497,1879327.057
6171562.004,2089956.082
6290190.813,1994165.602
6274282.288,1983476.314
6268523.386,2008071.109
6313431.326,1830862.944
6161754.866,2100030.598
6248526.456,2082427.206
6257249.265,1830136.961
6377291.312,1916586.125
6232428.299,2061205.323
6338084.441,1819417.827
6329574.792,1810757.076
6374692.794,1870934.759
6263740.035,1870216.676
6251602.841,2084382.219
6259421.345,1845167.159
6266643.724,1896098.049
6238446.105,2014699.612
